AreaRange_1,AreaRange_2,NumObjects,mAP,AP
0,285,2541,0.315207845835273,0.315207845835273
285,459,2550,0.30024827257007,0.30024827257007
459,Inf,2569,0.255862332275245,0.255862332275245
