AreaRange_1,AreaRange_2,NumObjects,mAP,AP
0,612,7198,0.0244452988475901,0.0244452988475901
612,993.16666666665,7245,0.0114071622261919,0.0114071622261919
993.16666666665,Inf,7221,0.000664864996757846,0.000664864996757846
